Player,height,Age,all_games,total_started,ppg,apg,rpg,FG%,FT%,3P%,All_Star
"Jae Crowder",6-6,26,72,72,13.8750,2.1528,5.763888888888889,0.463,0.811,0.398,0
"Kentavious Caldwell-Pope",6-5,23,76,75,13.7763,2.5395,3.263157894736842,0.399,0.832,0.35,0
"Bojan Bogdanovic",6-8,27,81,54,13.7407,1.3704,3.419753086419753,0.445,0.893,0.367,0
"Tyler Johnson",6-4,24,73,0,13.7260,3.1918,4.013698630136986,0.433,0.768,0.372,0
"Will Barton",6-6,26,60,19,13.6667,3.4333,4.3,0.443,0.753,0.37,0
"Andre Drummond",6-11,23,81,81,13.6420,1.0988,13.777777777777779,0.53,0.386,0.286,0
"Ryan Anderson",6-10,28,72,72,13.5972,0.9444,4.583333333333333,0.418,0.86,0.403,0
"Dwight Howard",6-11,31,74,74,13.5405,1.4054,12.702702702702704,0.633,0.533,0,0
"Wesley Matthews",6-5,30,73,73,13.5068,2.8767,3.547945205479452,0.393,0.816,0.363,0
"Otto Porter",6-8,23,80,80,13.4375,1.5125,6.4375,0.516,0.832,0.434,0
"Darren Collison",6-0,29,68,64,13.2353,4.5882,2.25,0.476,0.86,0.417,0
"Nick Young",6-7,31,60,60,13.1833,0.9667,2.283333333333333,0.43,0.856,0.404,0
"Julius Randle",6-9,22,74,73,13.1757,3.5676,8.594594594594595,0.488,0.723,0.27,0
"Sean Kilpatrick",6-4,27,70,24,13.1286,2.2429,4,0.415,0.843,0.341,0
"Ersan Ilyasova",6-10,29,82,52,13.0610,1.7195,5.865853658536586,0.431,0.778,0.353,0
"Robert Covington",6-9,26,67,67,12.8955,1.5224,6.507462686567164,0.399,0.822,0.333,0
"Dario Saric",6-10,22,81,36,12.8395,2.2469,6.333333333333333,0.411,0.782,0.311,0
"James Johnson",6-9,29,76,5,12.8289,3.6316,4.934210526315789,0.479,0.707,0.34,0
"Seth Curry",6-2,26,70,42,12.8286,2.6857,2.5428571428571427,0.481,0.85,0.425,0
"Elfrid Payton",6-4,22,82,58,12.7561,6.4512,4.719512195121951,0.471,0.692,0.274,0
"Aaron Gordon",6-9,21,80,72,12.7375,1.8750,5.0625,0.454,0.719,0.288,0
"DeAndre Jordan",6-11,28,81,81,12.7037,1.1852,13.753086419753087,0.714,0.482,0,1
"Rodney Hood",6-8,24,59,55,12.6780,1.6271,3.4237288135593222,0.408,0.783,0.371,0
"Clint Capela",6-10,22,65,59,12.5846,0.9846,8.092307692307692,0.643,0.531,,0
"Pau Gasol",7-0,36,64,39,12.3750,2.3438,7.828125,0.502,0.707,0.538,0
"Jamal Crawford",6-5,36,82,1,12.2927,2.5976,1.5731707317073171,0.413,0.857,0.36,0
"Austin Rivers",6-4,24,74,29,12.0135,2.7568,2.175675675675676,0.442,0.691,0.371,0
"Jonas Valanciunas",7-0,24,80,80,11.9875,0.7125,9.4875,0.557,0.811,0.5,0
"Jahlil Okafor",6-11,21,50,33,11.8000,1.1600,4.8,0.514,0.671,,0
"Greg Monroe",6-11,26,81,0,11.7407,2.3086,6.567901234567901,0.533,0.741,0,0
"Trevor Ariza",6-8,31,80,80,11.7000,2.1875,5.7375,0.409,0.738,0.344,0
"Frank Kaminsky",7-0,23,75,16,11.6533,2.1600,4.48,0.399,0.756,0.328,0
"Steven Adams",7-0,23,80,80,11.3125,1.0750,7.6875,0.571,0.611,0,0
"Marvin Williams",6-9,30,76,76,11.1711,1.3947,6.552631578947368,0.422,0.873,0.35,0
"Ricky Rubio",6-4,26,75,75,11.1467,9.0933,4.066666666666666,0.402,0.891,0.306,0
"Brandon Knight",6-3,25,54,5,11.0185,2.4074,2.185185185185185,0.398,0.857,0.324,0
"Jerryd Bayless",6-3,28,3,1,11.0000,4.3333,4,0.344,0.9,0.4,0
"Terrence Ross",6-7,25,78,24,11.0000,1.1282,2.6538461538461537,0.437,0.831,0.363,0
